"VA","VB","TransMI_Status","Zscore_Status","Pvalue_Status","Padjust_Status"
"O1.1",NA,0.0799999999999998,-0.0707106781186554,0.528185988898509,0.98334656395637
"O1.2",NA,0.0799999999999998,-0.0707106781186554,0.528185988898509,0.98334656395637
"S1.1",NA,0.0799999999999998,-0.0707106781186554,0.528185988898509,0.98334656395637
"O1.1_S1.1",NA,0,0,0.5,0.98334656395637
"O1.1","O1.2",0.0799999999999998,-0.0707106781186554,0.528185988898509,0.98334656395637
"O1.1","S1.1",0.0446345242636849,-2.12836452444406,0.98334656395637,0.98334656395637
"O1.1","O1.1_S1.1",0.00721304302695865,-1.16790633888888,0.878577726524641,0.98334656395637
"O1.2","S1.1",0.0446345242636849,-2.12836452444406,0.98334656395637,0.98334656395637
"O1.2","O1.1_S1.1",0.00721304302695865,-1.16790633888888,0.878577726524641,0.98334656395637
"S1.1","O1.1_S1.1",0.0890096046538626,-1.55384423967083,0.939889212480248,0.98334656395637
